COLaF ID and link	Title	Year	Original Search term	Link	Author	Genre	Character	Target_region	Lang	Metalang	Source	Transcribed	TEI	Added to corpus?
MOL_TC_025	L'école de la raison	1739	n/a	https://www.theatre-classique.fr/pages/documents/LAFOSSEM_ECOLEDELARAISON.xml	La Fosse	drama	Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_026	L’Épreuve	1740	li-meme	https://www.theatre-classique.fr/pages/documents/MARIVAUX_EPREUVE.xml	Marivaux	drama	MAÎTRE BLAISE	French Peasant	fra-dia	met-fr	theatre-classique	yes	yes	yes
MOL_LOU_009	Trial of Charlot	1748	n/a		n/a	spoken	Charlot	Louisiana	lou	eng		yes	yes	yes
MOL_TC_027	LES PRISONNIERS DE GUERRES	1752	avre été	https://www.theatre-classique.fr/pages/documents/ROUSSEAU_PRISONNIERSDEGUERRE.xml	Rousseau	drama	Jacquard	Suisse	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_028	Cendrillon	1759	n/a	https://www.theatre-classique.fr/pages/documents/ANSEAUME_CENDRILLON.xml	Anseaume	drama	Le Suisse	Suisse	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_RCF_001	Deux textes religieux	1770s	n/a	http://www.creolica.net/caulier.pdf	Caulier	bible	n/a	Reunion	rcf	met-fr	Creolica	yes	yes	yes
MOL_TC_029	Le Suisse de Porte 	1771	n/a	https://www.theatre-classique.fr/pages/documents/CARMONTELLE_SUISSEDEPORTE.xml	Carmontelle	drama	Le-Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_030	LE SUISSE MALADE	1776	n/a	https://www.theatre-classique.fr/pages/documents/CARMONTELLE_SUISSEMALADE.xml	Carmontelle	drama	Le Major, Le Caporal	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_031	 L'opéra de Province	1777	n/a	https://www.theatre-classique.fr/pages/documents/BARRE-DESPRES-PIIS-RESNIER_OPERADEPROVINCE.xml	Barré; Radet; Desfontaines	drama	Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_032	La méprise	1778	n/a	https://www.theatre-classique.fr/pages/documents/SACY_MEPRISE.xml	Sacy	drama	Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_033	Janot Chez Le Dégraisseur	1779	n/a	https://www.theatre-classique.fr/pages/documents/ARCHAMBAULT_JANOTDEGRAISSEUR.xml	Archambault	drama	Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
